Name,Link
Brand website,https://brand.sap.com
SAP pptx template,https://d.dam.sap.com/a/dieb6bt?rc=10
SAP Ariba pptx template,https://d.dam.sap.com/a/u6C1aZk?rc=10
SAP BTP pptx template,https://d.dam.sap.com/a/NEgSnbE
SAP Business network pptx template,https://d.dam.sap.com/a/WZ2M2bx
SAP China simplified pptx template,https://d.dam.sap.com/a/KECeKod?rc=10
SAP China traditional pptx template,https://d.dam.sap.com/a/MLXC1AH?rc=10
SAP Concur pptx template,https://d.dam.sap.com/a/kypYDHX?rc=10
SAP Customer experience pptx template,https://d.dam.sap.com/a/irMNq1y?rc=10
SAP Emarsys pptx template,https://d.dam.sap.com/a/F9oEjhg
SAP fieldglass pptx template,https://d.dam.sap.com/a/2ZtvE2r?rc=10
SAP leanIX pptx template,https://d.dam.sap.com/a/avD2JRY?rc=10&doi=SAP1083617
SAP S4HANA pptx template,https://d.dam.sap.com/a/ypfpGPR
SAP S4HANA cloud pptx template,https://d.dam.sap.com/a/k4LfsJV
SAP Signavio pptx template,https://d.dam.sap.com/a/YnREd6n
SAP Successfactors pptx template,https://d.dam.sap.com/a/BtsqiPz?rc=10
SAP tauila pptx template,https://d.dam.sap.com/a/HzR6uMj?rc=10&doi=SAP1185669
SAP word template A4,https://d.dam.sap.com/a/KqM262D
SAP ariba word template A4,https://d.dam.sap.com/a/CTCDtyV
SAP S4HANA cloud word template A4,https://d.dam.sap.com/a/dwYmZe9
72 Brand font,https://d.dam.sap.com/a/BKfH26A?rc=10
SAP FAQ brochure template,https://d.dam.sap.com/a/Y3K8DPi
SAP letter head template English,https://d.dam.sap.com/s/i/a/h3tUiEt?rc=10
SAP letter head template German,https://d.dam.sap.com/a/NvYEoG2?rc=10
SAP Email template,https://d.dam.sap.com/a/Y7XA9Yy
SAP Color pallate ,https://d.dam.sap.com/a/RWm1hZr?rc=10